id,prime_id,student_id,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16,prob17,prob18,prob19,prob20,prob21,prob22,prob23,prob24,prob25,prob26,prob27,prob28,prob29,prob30,prob31,prob32,prob33,prob34,prob35,prob36,prob37,prob38,prob39,prob40
7525,29,1882,4,3,3,4,4,1,1,2,5,4,2,3,4,2,1,5,2,4,1,4,4,1,5,3,3,4,2,4,4,1,3,3,3,4,4,1,1,1,5,2
7526,30,1882,4,2,1,2,4,4,3,2,2,3,5,4,2,2,4,5,4,3,4,5,3,3,3,2,5,3,5,2,3,5,5,5,4,5,3,4,3,2,1,5
7527,31,1882,1,1,3,2,4,3,1,3,2,3,5,2,2,2,4,4,4,5,5,3,3,5,3,2,4,3,1,2,4,5,3,2,5,3,1,4,4,1,4,3
7528,32,1882,2,1,2,1,2,3,1,2,4,2,3,3,4,3,3,3,4,2,4,3,2,2,3,4,4,,,,,,,,,,,,,,,
7529,29,1883,4,3,3,4,3,1,1,5,5,3,2,3,4,2,1,3,1,4,1,4,4,1,5,3,5,3,2,3,4,2,5,2,3,4,4,1,1,1,5,2
7530,30,1883,4,2,1,2,1,2,3,2,1,3,5,1,2,2,4,3,4,2,3,2,3,3,5,2,2,3,5,2,3,1,2,2,5,3,3,3,3,2,3,5
7531,31,1883,2,3,1,2,4,3,1,1,2,5,5,2,4,3,3,3,4,5,5,3,5,2,3,3,4,3,1,2,4,5,3,3,2,5,1,3,5,1,4,1
7532,32,1883,1,2,2,3,1,1,3,4,4,1,2,4,4,2,1,3,1,2,4,3,1,2,3,2,1,,,,,,,,,,,,,,,
7533,29,1884,4,3,3,4,1,4,3,5,1,5,2,3,4,2,1,4,1,4,1,4,3,1,5,3,3,4,2,3,4,2,5,2,3,4,4,1,1,1,5,2
7534,30,1884,4,2,1,2,1,2,3,2,1,3,5,4,2,2,4,5,4,3,1,3,3,3,2,2,5,2,2,2,3,4,4,5,5,5,3,4,3,2,1,1
7535,31,1884,2,1,1,2,2,3,1,5,4,3,4,2,5,2,3,1,4,5,5,3,3,4,3,3,4,3,1,2,5,5,1,5,2,4,1,1,5,1,4,4
7536,32,1884,1,1,2,4,3,1,1,1,4,2,3,1,1,1,3,3,1,2,4,3,1,4,3,3,1,,,,,,,,,,,,,,,
7537,29,1885,4,3,3,4,3,4,1,3,1,5,5,5,4,1,1,4,1,4,1,4,4,1,2,3,3,2,2,3,1,1,5,5,3,4,2,1,1,4,5,5
7538,30,1885,4,2,1,2,1,4,3,2,1,3,5,4,3,3,4,5,4,3,4,2,3,3,5,2,5,3,5,2,3,1,3,3,4,3,3,4,3,2,3,3
7539,31,1885,2,2,1,5,4,3,2,4,2,5,5,2,5,3,2,2,2,4,5,3,3,2,3,2,4,3,1,2,4,4,2,1,2,4,2,2,2,1,4,3
7540,32,1885,2,4,4,4,1,1,1,4,4,2,3,3,3,2,2,3,1,2,4,3,1,2,4,3,4,,,,,,,,,,,,,,,
7541,29,1886,4,3,3,4,3,1,1,3,5,5,2,2,4,2,1,4,1,4,1,4,4,1,2,3,5,2,2,3,4,1,1,2,3,4,4,1,1,1,5,2
7542,30,1886,4,2,2,2,1,2,3,2,1,2,5,1,4,4,5,1,4,3,4,1,3,3,5,2,5,3,4,2,3,1,1,1,5,5,3,4,3,2,1,3
7543,31,1886,1,1,1,2,4,3,1,3,4,4,5,2,5,3,3,3,4,5,5,3,3,5,3,2,4,3,1,3,4,3,3,3,1,4,3,3,4,1,4,3
7544,32,1886,2,1,2,4,3,1,3,4,4,1,3,3,3,2,2,3,1,2,4,4,1,2,2,2,1,,,,,,,,,,,,,,,
